Date,Periodo,QQQ,SPY,GLD,TLT
2021-02-24,-1,0.0082094447811648,0.0109588884135662,-0.0007097783269727,-0.0065815921436735
2021-02-25,-1,-0.0354847036909648,-0.0243905389287085,-0.0189958080653072,-0.016465343465997
2021-02-26,-1,0.0041788995087,-0.0051661325094302,-0.0244801145341545,0.0325239806242433
2021-03-01,-1,0.0296385698121138,0.0239510564823475,-0.0017319159550744,-0.0132954051448439
2021-03-02,-1,-0.0161689848365224,-0.0078338176866221,0.0054331483665202,7.102577182549771e-05
2021-03-03,-1,-0.0294493875154753,-0.0133339604321407,-0.0110827283745206,-0.0109049334170725
2021-03-04,-1,-0.0165025320714488,-0.0124521258433338,-0.0098855956672333,-0.0064709981734747
2021-03-05,-1,0.0149487499705885,0.0182294927361825,0.0006286134207733,0.0019458276519351
2021-03-08,-1,-0.0287230761597569,-0.0049912749889665,-0.0104223150481412,-0.0078049094796678
2021-03-09,-1,0.0386834204178924,0.0141765142397972,0.0210480601944894,0.0137622344411566
2021-03-10,-1,-0.0028587952331909,0.0062051719750833,0.0050853276984302,0.0020017666342297
2021-03-11,-1,0.0227703657037266,0.0100882994699587,-0.0008663865026826,-0.0072392232567605
2021-03-12,-1,-0.0081455589172434,0.0013458263190737,-0.0001857451996914,-0.0214501310905353
2021-03-15,-1,0.0106264857444283,0.0059459651133893,0.0043868676100483,0.0058629094954091
2021-03-16,-1,0.0054737184141059,-0.0012622588190478,0.0009244132771239,-0.0040270225632987
2021-03-17,-1,0.0041089127879227,0.0034040633042745,0.0071195808075622,-0.0075111755213696
2021-03-18,-1,-0.0311094589184801,-0.0146567203349107,-0.0058269675795917,-0.0101780451781402
2021-03-19,-1,0.003519095269008,-0.0018519169702672,0.0041743948168263,0.0061784849493259
2021-03-22,-1,0.0185795021660801,0.0079533158268629,-0.0014713433816878,0.0111436717324926
2021-03-23,-1,-0.0043722016694546,-0.0079018482050947,-0.0073274084831506,0.0089864301803875
2021-03-24,-1,-0.0170090128843421,-0.0050965342167664,0.0034548592032761,0.0053678199003456
2021-03-25,-1,-0.0017330625600626,0.0056098142327854,-0.0036402714825327,-0.007916704579633
2021-03-26,-1,0.014888730618055,0.0159864738792148,0.0028393742167224,-0.0035065508350425
2021-03-29,-1,-0.0002848293071183,-0.0005053018432442,-0.0119673287887777,-0.0085239841998783
2021-03-30,-1,-0.0050457404618113,-0.0026563527698166,-0.0172395750160292,0.0052263765858692
2021-03-31,-1,0.0151870041545439,0.0040450115052064,0.0150539754945091,-0.0055956352623753
2021-04-01,-1,0.0169024785190607,0.0107411738681438,0.0125490184935917,0.0164609623103419
2021-04-05,-1,0.0197683354484707,0.0142512950977216,-0.0003704696536619,-0.0043731061689251
2021-04-06,-1,-0.0006948640576838,-0.0005909466334602,0.0079966167292692,0.0067702327728529
2021-04-07,-1,0.0024150171352054,0.0011566133645405,-0.0028223021365765,-0.0069893067995022
2021-04-08,-1,0.0103797260486614,0.004735685660239,0.0106946358568615,0.008221647985491
2021-04-09,-1,0.0060400006615387,0.0072437920607564,-0.0075660269341201,-0.0036294677899166
2021-04-12,-1,-0.0013061319379558,0.0003644741407581,-0.0060820674901002,-0.0004362191264855
2021-04-13,-1,0.0116056317648082,0.0029592613746129,0.0070614884732901,0.0074654222731204
2021-04-14,-1,-0.0120810036478768,-0.0034210142302572,-0.0043537794872208,-0.0031825831894512
2021-04-15,-1,0.0150417895646527,0.010685342984045,0.0160335365383925,0.0165956313083749
2021-04-16,-1,0.0011704181978766,0.0033368301809462,0.0060295628147861,-0.0077965217910017
2021-04-19,-1,-0.0091941045009463,-0.0049252699037275,-0.0027691247303623,-0.0028758942355881
2021-04-20,-1,-0.0073152205871213,-0.007348357349891,0.0035502419969409,0.0045980023359878
2021-04-21,-1,0.0085243692458788,0.0094176163304517,0.0098623623108536,0.0020052583225633
2021-04-22,-1,-0.0121276539375259,-0.0091750984912563,-0.0065042542316209,0.004354401370678
2021-04-23,-1,0.0125108794606358,0.010784035854984,-0.0038387727937765,-0.0023533457208991
2021-04-26,-1,0.006489984939319,0.0020854764433664,0.0026407556715896,-0.0014287630011841
2021-04-27,-1,-0.0043416152006185,-0.0002155266327676,-0.002520544909244,-0.0087617026374421
2021-04-28,-1,-0.0033864787371595,-0.0002874930131138,0.002940064461277,0.0006489309881762
2021-04-29,-1,0.0035923771036689,0.0063527042817246,-0.0041425474621681,-0.0029594229267737
2021-04-30,-1,-0.0065764559028463,-0.0065922411367671,-0.0033747021924852,0.0023104919385974
2021-05-03,-1,-0.0053396185820465,0.0021543904049502,0.0128948551881409,0.0005995289759085
2021-05-04,-1,-0.0181596655975587,-0.0061883381589844,-0.007356686965198,0.0067631293992426
2021-05-05,-1,-0.0033678757613475,0.0003125592204602,0.0041336133669812,0.0016478833652307
2021-05-06,-1,0.0075090594708903,0.007953982122873,0.0165420027352803,0.0016451723125315
2021-05-07,-1,0.0080817664591714,0.0072515860913706,0.0089565873538219,-0.0049434685365383
2021-05-10,-1,-0.0255786357984641,-0.0099517301296332,0.0030259218728549,-0.0101790838880844
2021-05-11,-1,-0.0013827180017255,-0.0089648111219787,0.0001742848474817,-0.0056752369137456
2021-05-12,-1,-0.026223467133965,-0.0214742440854833,-0.0099834834134529,-0.0105636100573377
2021-05-13,-1,0.0077016122731744,0.0119409687744391,0.0040989178599215,0.0015472416967638
2021-05-14,-1,0.0218364989431955,0.0152386829096437,0.009074563611959,0.0093081397169864
2021-05-17,-1,-0.0060849588475891,-0.0025477129883566,0.0115721059373621,-0.002117871488645
2021-05-18,-1,-0.0067739394904874,-0.0086531286023136,0.0019442812059788,-0.0025618832080574
2021-05-19,-1,0.0011480471084582,-0.0026250782400145,0.0006853819629941,-0.0024219058841631
